File,Total Pairs,Aligned 0 Times (Concordant/Discordant),Aligned Concordantly 1 Time,Aligned Concordantly >1 Times,Aligned Discordantly 1 Time,Total Unpaired Reads,Aligned 0 Times (Unpaired),Aligned 1 Time (Unpaired),Aligned >1 Times (Unpaired),Overall Alignment Rate
KMHC-401TR_summary.txt,54442967,54418715,18065,5649,538,108837430,108835987,864,579,0.05
SGH-196T_summary.txt,66174388,66166424,4373,3427,164,132332848,132332132,268,448,0.01
KMHC-399T_summary.txt,62650148,62482947,86432,78089,2680,124965894,124948795,5708,11391,0.28
KMHC-391T_summary.txt,48500455,48469957,18897,11064,537,96939914,96937091,1134,1689,0.07
SGH-197T_summary.txt,48460631,48445122,11134,4062,313,96890244,96888862,727,655,0.03
KMHC-396T_summary.txt,50782357,50704988,48393,27476,1500,101409976,101403626,2843,3507,0.16
JHHC-479T_summary.txt,59206606,59135960,47602,21569,1475,118271920,118266049,2926,2945,0.12
KMHC-409T_summary.txt,79443684,79245572,61089,135562,1461,158491144,158472145,3217,15782,0.26
KMHC-398T_summary.txt,72599378,72589617,5730,3880,151,145179234,145178504,268,462,0.01
JHHC-475T_summary.txt,73012297,72952392,28901,30086,918,145904784,145899220,1971,3593,0.09
MTHC-012T_summary.txt,51953046,51937850,12038,2827,331,103875700,103874665,713,322,0.03
MTHC-007T_summary.txt,57750783,57724587,15075,10656,465,115449174,115447098,804,1272,0.05
MTHC-009T_summary.txt,66079602,66019919,32723,26084,876,132039838,132034905,1840,3093,0.09
MTHC-014T_summary.txt,56782593,56780589,1422,552,30,113561178,113561053,61,64,0.00
MKHC-195T_summary.txt,66029054,66004379,15252,8989,434,132008758,132006696,812,1250,0.04
MKHC-200T_summary.txt,82148880,82028220,66681,52014,1965,164056440,164044607,4453,7380,0.15
KMHC-394T_summary.txt,71166830,70987308,109836,66382,3304,141974616,141959423,5702,9491,0.26
MKHC-199T_summary.txt,55773178,55713917,36303,21771,1187,111427834,111422579,2266,2989,0.11
MKHC-188TR_summary.txt,76033707,75977922,29472,25446,867,151955844,151951427,1526,2891,0.08
SGH-195T_summary.txt,57730858,57688926,29113,12068,751,115377852,115374802,1276,1774,0.08
MKHC-192T_summary.txt,84258466,83904709,187577,160883,5297,167809418,167774586,11983,22849,0.44
KMHC-361T_summary.txt,93453640,93391183,38548,22666,1243,186782366,186776719,2414,3233,0.07
MKHC-202T_summary.txt,44382783,44375615,4519,2501,148,88751230,88750609,264,357,0.02
MTHC-003T_summary.txt,67378899,67377390,895,571,43,134754780,134754692,43,45,0.00
JHHC-474T_summary.txt,67453246,67202746,134677,111863,3960,134405492,134381213,8678,15601,0.39
KMHC-404T_summary.txt,57958483,57881844,52272,22446,1921,115763688,115757967,2596,3125,0.14
JHHC-473T_summary.txt,61353412,61302737,23552,26383,740,122605474,122600611,1449,3414,0.09
SGH-200T_summary.txt,51840538,51824388,8536,7345,269,103648776,103647269,568,939,0.03
MKHC-189T_summary.txt,65007776,64912425,52699,41090,1562,129824850,129815577,3517,5756,0.15
KHC-007T_summary.txt,70199017,70153500,37818,6843,856,140307000,140304380,1859,761,0.07
KMHC-358T_summary.txt,79161172,79006798,104561,45960,3853,158013596,158000721,6927,5948,0.20
SGH-203T_summary.txt,57655698,57622986,22387,9640,685,115245972,115243129,1359,1484,0.06
KMHC-405T_summary.txt,63310893,63300929,7972,1859,133,126601858,126601256,380,222,0.02
KMHC-401T_summary.txt,54759981,54728225,24106,7315,335,109456450,109454323,1164,963,0.06
KMHC-384T_summary.txt,49162647,49098630,44498,18128,1391,98197260,98191769,2998,2493,0.14
MKHC-193T_summary.txt,55001514,54823852,112668,61669,3325,109647704,109632705,6184,8815,0.34
KMHC-405TR_summary.txt,64517377,64506183,7631,3326,237,129012366,129011589,431,346,0.02
MTHC-001T_summary.txt,55814950,55778889,28418,6869,774,111557778,111555454,1458,866,0.07
MKHC-201T_summary.txt,50546418,50504572,21743,19489,614,101009144,101005518,1307,2319,0.09
JHHC-477T_summary.txt,59668209,59641282,19849,6505,573,119282564,119280293,1243,1028,0.05
MKHC-188T_summary.txt,61412484,61325333,60236,25617,1298,122650666,122644408,3026,3232,0.15
SGH-202T_summary.txt,45891093,45850128,25979,14187,799,91700256,91697200,1390,1666,0.09
MKHC-194T_summary.txt,58762250,58701669,36066,23335,1180,117403338,117397812,2350,3176,0.11
KMHC-393T_summary.txt,53177729,53149444,17181,10572,532,106298888,106296565,999,1324,0.06
SGH-194T_summary.txt,63507194,63440288,53099,12165,1642,126880576,126875654,3055,1867,0.11
KMHC-403T_summary.txt,49634180,49618113,12618,3151,298,99236226,99235181,639,406,0.03
MKHC-196T_summary.txt,58155391,58134808,13310,6834,439,116269616,116267755,873,988,0.04
JHHC-480T_summary.txt,54878969,54869442,5397,3969,161,109738884,109738032,360,492,0.02
MKHC-197T_summary.txt,48322333,48255847,34990,30477,1019,96511694,96505677,2303,3714,0.14
